iter	RMSE
0	4656838.463
1	4508467.138
2	4373369.35
3	4248076.513
4	4131654.357
5	4017294.106
6	3918930.545
7	3825317.501
8	3739957.547
9	3663823.256
10	3596459.867
11	3537184.085
12	3479906.953
13	3425780.888
14	3378509.743
15	3335553.214
16	3293424.937
17	3256794.204
18	3219556.577
19	3189385.849
20	3157881.099
21	3130653.24
22	3102825.084
23	3078326.945
24	3056561.681
25	3032859.301
26	3012650.673
27	2991503.22
28	2971157.765
29	2954000.98
30	2937033.37
31	2921025.923
32	2903509.149
33	2889500.321
34	2875560.121
35	2861254.165
36	2848854.054
37	2837715.966
38	2828508.984
39	2819153.441
40	2808671.971
41	2799316.277
42	2790469.405
43	2780761.065
44	2772831.616
45	2765499.958
46	2759352.143
47	2749517.47
48	2741680.892
49	2735665.915
50	2728022.389
51	2723100.25
52	2715411.148
53	2706927.221
54	2700346.588
55	2693648.222
56	2688233.957
57	2681928.765
58	2676162.755
59	2671636.069
60	2666764.121
61	2660915.508
62	2657071.386
63	2653857.224
64	2648902.213
65	2644559.814
66	2639956.381
67	2633939.065
68	2627917.786
69	2624736.027
70	2621580.994
71	2618256.893
72	2614847.705
73	2612017.323
74	2609175.914
75	2605989.35
76	2601179.217
77	2596998.057
78	2593148.913
79	2590247.476
80	2588675.088
81	2585718.779
82	2584081.128
83	2581601.083
84	2578665.647
85	2575343.803
86	2570942.224
87	2567787.794
88	2563952.703
89	2558176.649
90	2554159.082
91	2548763.868
92	2547613.334
93	2544668.399
94	2541002.954
95	2538309.545
96	2533803.702
97	2531645.287
98	2528376.825
99	2523787.091
100	2521729.467
101	2518950.784
102	2515844.274
103	2515385.577
104	2513137.481
105	2511414.311
106	2509287.329
107	2506434.444
108	2504746.324
109	2502378.987
110	2501748.479
111	2500093.958
112	2497780.453
113	2495920.79
114	2495277.937
115	2493783.635
116	2491828.399
117	2489549.35
118	2487809.522
119	2486288.13
120	2483255.295
121	2481904.979
122	2481386.026
123	2479452.641
124	2477151.408
125	2473587.791
126	2472460.275
127	2469814.659
128	2468799.373
129	2467955.792
130	2464874.976
131	2462443.672
132	2456988.366
133	2456035.502
134	2452796.134
135	2451564.177
136	2447807.825
137	2446291.939
138	2445516.892
139	2443569.565
140	2442290.366
141	2441251.393
142	2440361.109
143	2439159.369
144	2436403.682
145	2434002.764
146	2433440.583
147	2431083.676
148	2428038.158
149	2425974.848
150	2424461.071
151	2422544.153
152	2419362.071
153	2417539.792
154	2415234.973
155	2414388.46
156	2413330.98
157	2410727.967
158	2408999.464
159	2407214.592
160	2405930.191
161	2403163.003
162	2401512.547
163	2398861.261
164	2398337.186
165	2395462.33
166	2393870.659
167	2391871.223
168	2391330.24
169	2388606.86
170	2386960.919
171	2383771.001
172	2381382.159
173	2380246.234
174	2378063.628
175	2377394.942
176	2375704.676
177	2373452.005
178	2370990.791
179	2368225.998
180	2366087.531
181	2364715.335
182	2364156.111
183	2363260.479
184	2360032.954
185	2358309.579
186	2356666.538
187	2355157.665
188	2354545.422
189	2352103.407
190	2349829.368
191	2347990.207
192	2345372.068
193	2342242.788
194	2340444.299
195	2338858.614
196	2336747.757
197	2335632.164
198	2334739.999
199	2333265.328
200	2332823.754
201	2330980.955
202	2330004.453
203	2329522.191
204	2327257.052
205	2327100.372
206	2326099.391
207	2323805.611
208	2323037.609
209	2321764.077
210	2319900.294
211	2319506.753
212	2317658.904
213	2317513.941
214	2315745.271
215	2315374.307
216	2313911.974
217	2312216.953
218	2310932.441
219	2308836.657
220	2307795.858
221	2306413.687
222	2305022.097
223	2304388.948
224	2302726.488
225	2301512.812
226	2301263.029
227	2297995.134
228	2297578.657
229	2296072.037
230	2294318.317
231	2293114.377
232	2291315.13
233	2290046.731
234	2289796.739
235	2288566.588
236	2286377.082
237	2286247.457
238	2283679.071
239	2282415.184
240	2281183.652
241	2278410.229
242	2276479.788
243	2273978.149
244	2273176.276
245	2272411.008
246	2271191.186
247	2270432.857
248	2269651.156
249	2268326.16
250	2266217.17
251	2265799.24
252	2263604.45
253	2262131.78
254	2261780.606
255	2260506.604
256	2258772.173
257	2257159.23
258	2256794.199
259	2255607.269
260	2254739.595
261	2252617.67
262	2252498.185
263	2251091.364
