iter	Passed	Remaining
0	116	116579
1	131	65501
2	146	48609
3	160	39923
4	174	34647
5	187	31092
6	201	28535
7	213	26491
8	226	24950
9	240	23797
10	252	22741
11	266	21924
12	278	21176
13	291	20542
14	304	20019
15	317	19512
16	330	19101
17	342	18703
18	356	18386
19	369	18113
20	381	17808
21	394	17534
22	407	17299
23	420	17109
24	434	16929
25	447	16763
26	460	16598
27	473	16424
28	485	16272
29	498	16129
30	511	15992
31	524	15869
32	537	15754
33	551	15660
34	564	15553
35	577	15455
36	590	15369
37	603	15276
38	616	15181
39	628	15095
40	642	15019
41	654	14930
42	666	14841
43	679	14760
44	692	14693
45	705	14635
46	718	14571
47	731	14510
48	743	14439
49	756	14369
50	768	14302
51	780	14226
52	792	14169
53	808	14170
54	822	14135
55	835	14089
56	849	14047
57	866	14065
58	881	14056
59	895	14032
60	910	14014
61	923	13968
62	936	13927
63	950	13895
64	963	13852
65	976	13813
66	990	13789
67	1004	13771
68	1017	13723
69	1029	13678
70	1042	13634
71	1054	13592
72	1067	13559
73	1080	13521
74	1092	13478
75	1105	13435
76	1117	13397
77	1130	13357
78	1142	13316
79	1154	13278
80	1167	13246
81	1180	13210
82	1192	13175
83	1203	13126
84	1216	13091
85	1230	13074
86	1244	13062
87	1258	13044
88	1271	13019
89	1284	12992
90	1297	12963
91	1312	12956
92	1324	12919
93	1338	12898
94	1351	12875
95	1363	12843
96	1377	12827
97	1392	12813
98	1406	12804
99	1421	12789
100	1433	12760
101	1447	12744
102	1460	12723
103	1472	12689
104	1486	12671
105	1499	12645
106	1512	12623
107	1526	12607
108	1539	12584
109	1552	12563
110	1564	12533
111	1577	12503
112	1589	12474
113	1600	12440
114	1613	12416
115	1625	12390
116	1637	12360
117	1650	12335
118	1663	12318
119	1676	12292
120	1690	12281
121	1704	12267
122	1717	12248
123	1731	12231
124	1745	12217
125	1759	12204
126	1773	12188
127	1787	12174
128	1800	12158
129	1813	12137
130	1826	12116
131	1839	12097
132	1853	12080
133	1865	12054
134	1878	12038
135	1893	12028
136	1906	12011
137	1919	11990
138	1931	11966
139	1947	11961
140	1962	11957
141	1975	11939
142	1988	11919
143	2002	11900
144	2016	11888
145	2029	11872
146	2041	11845
147	2054	11828
148	2067	11810
149	2081	11792
150	2093	11768
151	2105	11748
152	2119	11732
153	2131	11706
154	2144	11688
155	2156	11665
156	2168	11644
157	2181	11626
158	2194	11609
159	2208	11594
160	2220	11572
161	2233	11553
162	2245	11531
163	2258	11510
164	2270	11489
165	2282	11468
166	2294	11446
167	2307	11428
168	2319	11406
169	2333	11392
170	2346	11376
171	2360	11365
172	2375	11353
173	2387	11334
174	2401	11322
175	2414	11303
176	2427	11287
177	2441	11275
178	2454	11259
179	2468	11244
180	2481	11229
181	2494	11212
182	2507	11193
183	2519	11172
184	2531	11154
185	2544	11135
186	2557	11117
187	2568	11095
188	2580	11070
189	2593	11055
190	2607	11042
191	2619	11025
192	2632	11008
193	2645	10992
194	2658	10975
195	2672	10961
196	2685	10945
197	2699	10932
198	2711	10914
199	2725	10900
200	2738	10884
201	2751	10869
202	2764	10853
203	2777	10838
204	2791	10823
205	2803	10803
206	2815	10786
207	2828	10770
208	2840	10749
